title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,518588,"DK, FI, NO, SE"
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,212366,"HK, MY, PH, SG, TW"
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,445705,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1110597,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,259900,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,739483,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,61460,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,146239,"FR, MC"
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1212374,NL
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,249183,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,350367,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,840679,"AD, BA, BE, BG, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK"
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,295945,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,187428,US
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,126133,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1698445,"BA, BE, BG, CZ, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,954310,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1347340,"BE, FR, MC"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,930264,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,113145,US
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,81536,US
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,112219,US
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,376295,"AD, DK, ES, FI, NO, PT, SE, US"
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,877455,"BE, FR, MC"
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,542436,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2065053,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1835357,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2035405,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Princess Mononoke",movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,448412,US
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,883566,US
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,701703,"FR, MC"
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,394411,US
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79473,US
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,285240,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,130111,US
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2955094,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
